DEBUG:root:training
DEBUG:root:epoch 1, test error 27.933333 %
DEBUG:root:epoch 2, test error 25.161111 %
DEBUG:root:epoch 3, test error 23.105556 %
DEBUG:root:epoch 4, test error 22.411111 %
DEBUG:root:epoch 5, test error 21.572222 %
DEBUG:root:epoch 6, test error 21.094444 %
DEBUG:root:epoch 7, test error 20.750000 %
DEBUG:root:epoch 8, test error 19.827778 %
DEBUG:root:epoch 9, test error 19.494444 %
DEBUG:root:epoch 10, test error 19.238889 %
DEBUG:root:epoch 11, test error 18.505556 %
DEBUG:root:epoch 12, test error 18.111111 %
DEBUG:root:epoch 13, test error 17.644444 %
DEBUG:root:epoch 14, test error 17.116667 %
DEBUG:root:epoch 15, test error 16.511111 %
DEBUG:root:epoch 16, test error 16.044444 %
DEBUG:root:epoch 17, test error 15.794444 %
DEBUG:root:epoch 18, test error 15.227778 %
DEBUG:root:epoch 19, test error 14.738889 %
DEBUG:root:epoch 20, test error 14.411111 %
DEBUG:root:epoch 21, test error 14.300000 %
DEBUG:root:epoch 22, test error 13.850000 %
DEBUG:root:epoch 23, test error 13.550000 %
DEBUG:root:epoch 24, test error 13.683333 %
DEBUG:root:epoch 25, test error 13.327778 %
DEBUG:root:epoch 26, test error 13.244444 %
DEBUG:root:epoch 27, test error 13.088889 %
DEBUG:root:epoch 28, test error 12.916667 %
DEBUG:root:epoch 29, test error 12.716667 %
DEBUG:root:epoch 30, test error 12.466667 %
DEBUG:root:epoch 31, test error 12.605556 %
DEBUG:root:epoch 32, test error 12.511111 %
DEBUG:root:epoch 33, test error 12.455556 %
DEBUG:root:epoch 34, test error 12.461111 %
DEBUG:root:epoch 35, test error 12.227778 %
DEBUG:root:epoch 36, test error 12.100000 %
DEBUG:root:epoch 37, test error 12.100000 %
DEBUG:root:epoch 38, test error 11.905556 %
DEBUG:root:epoch 39, test error 12.016667 %
DEBUG:root:epoch 40, test error 11.844444 %
DEBUG:root:epoch 41, test error 11.777778 %
DEBUG:root:epoch 42, test error 11.822222 %
DEBUG:root:epoch 43, test error 11.661111 %
DEBUG:root:epoch 44, test error 11.772222 %
DEBUG:root:epoch 45, test error 11.644444 %
DEBUG:root:epoch 46, test error 11.544444 %
DEBUG:root:epoch 47, test error 11.472222 %
DEBUG:root:epoch 48, test error 11.583333 %
DEBUG:root:epoch 49, test error 11.655556 %
DEBUG:root:epoch 50, test error 11.544444 %
DEBUG:root:epoch 51, test error 11.516667 %
DEBUG:root:epoch 52, test error 11.511111 %
DEBUG:root:epoch 53, test error 11.377778 %
DEBUG:root:epoch 54, test error 11.283333 %
DEBUG:root:epoch 55, test error 11.488889 %
DEBUG:root:epoch 56, test error 11.222222 %
DEBUG:root:epoch 57, test error 11.411111 %
DEBUG:root:epoch 58, test error 11.222222 %
DEBUG:root:epoch 59, test error 11.155556 %
DEBUG:root:epoch 60, test error 11.155556 %
DEBUG:root:epoch 61, test error 11.166667 %
DEBUG:root:epoch 62, test error 11.094444 %
DEBUG:root:epoch 63, test error 11.044444 %
DEBUG:root:epoch 64, test error 11.244444 %
DEBUG:root:epoch 65, test error 11.088889 %
DEBUG:root:epoch 66, test error 11.061111 %
DEBUG:root:epoch 67, test error 11.155556 %
DEBUG:root:epoch 68, test error 11.116667 %
DEBUG:root:epoch 69, test error 11.083333 %
DEBUG:root:epoch 70, test error 10.927778 %
DEBUG:root:epoch 71, test error 11.211111 %
DEBUG:root:epoch 72, test error 11.161111 %
DEBUG:root:epoch 73, test error 10.966667 %
DEBUG:root:epoch 74, test error 11.011111 %
