DEBUG:root:training
DEBUG:root:epoch 1, test error 12.433333 %
DEBUG:root:epoch 2, test error 11.866667 %
DEBUG:root:epoch 3, test error 11.388889 %
DEBUG:root:epoch 4, test error 11.338889 %
DEBUG:root:epoch 5, test error 10.938889 %
DEBUG:root:epoch 6, test error 10.811111 %
DEBUG:root:epoch 7, test error 10.450000 %
DEBUG:root:epoch 8, test error 10.155556 %
DEBUG:root:epoch 9, test error 9.905556 %
DEBUG:root:epoch 10, test error 9.616667 %
DEBUG:root:epoch 11, test error 9.377778 %
DEBUG:root:epoch 12, test error 9.327778 %
DEBUG:root:epoch 13, test error 8.955556 %
DEBUG:root:epoch 14, test error 8.900000 %
DEBUG:root:epoch 15, test error 8.822222 %
DEBUG:root:epoch 16, test error 8.377778 %
DEBUG:root:epoch 17, test error 8.494444 %
DEBUG:root:epoch 18, test error 8.316667 %
DEBUG:root:epoch 19, test error 8.211111 %
DEBUG:root:epoch 20, test error 8.288889 %
DEBUG:root:epoch 21, test error 8.105556 %
DEBUG:root:epoch 22, test error 8.188889 %
DEBUG:root:epoch 23, test error 8.011111 %
DEBUG:root:epoch 24, test error 7.872222 %
DEBUG:root:epoch 25, test error 7.905556 %
DEBUG:root:epoch 26, test error 7.988889 %
DEBUG:root:epoch 27, test error 7.616667 %
DEBUG:root:epoch 28, test error 7.477778 %
DEBUG:root:epoch 29, test error 7.655556 %
DEBUG:root:epoch 30, test error 7.583333 %
DEBUG:root:epoch 31, test error 7.850000 %
DEBUG:root:epoch 32, test error 7.683333 %
DEBUG:root:epoch 33, test error 7.472222 %
DEBUG:root:epoch 34, test error 7.538889 %
DEBUG:root:epoch 35, test error 7.366667 %
DEBUG:root:epoch 36, test error 7.183333 %
DEBUG:root:epoch 37, test error 7.744444 %
DEBUG:root:epoch 38, test error 7.444444 %
DEBUG:root:epoch 39, test error 7.355556 %
DEBUG:root:epoch 40, test error 7.072222 %
DEBUG:root:epoch 41, test error 7.388889 %
DEBUG:root:epoch 42, test error 7.005556 %
DEBUG:root:epoch 43, test error 7.272222 %
DEBUG:root:epoch 44, test error 7.322222 %
DEBUG:root:epoch 45, test error 7.238889 %
DEBUG:root:epoch 46, test error 7.344444 %
DEBUG:root:epoch 47, test error 7.077778 %
DEBUG:root:epoch 48, test error 7.100000 %
DEBUG:root:epoch 49, test error 7.011111 %
DEBUG:root:epoch 50, test error 7.016667 %
DEBUG:root:epoch 51, test error 6.983333 %
DEBUG:root:epoch 52, test error 6.744444 %
DEBUG:root:epoch 53, test error 7.033333 %
DEBUG:root:epoch 54, test error 7.200000 %
DEBUG:root:epoch 55, test error 7.083333 %
DEBUG:root:epoch 56, test error 6.700000 %
DEBUG:root:epoch 57, test error 6.844444 %
DEBUG:root:epoch 58, test error 7.166667 %
DEBUG:root:epoch 59, test error 7.161111 %
DEBUG:root:epoch 60, test error 6.933333 %
DEBUG:root:epoch 61, test error 6.777778 %
DEBUG:root:epoch 62, test error 6.977778 %
DEBUG:root:epoch 63, test error 6.866667 %
DEBUG:root:epoch 64, test error 6.800000 %
DEBUG:root:epoch 65, test error 6.694444 %
DEBUG:root:epoch 66, test error 6.711111 %
DEBUG:root:epoch 67, test error 6.733333 %
DEBUG:root:epoch 68, test error 6.533333 %
DEBUG:root:epoch 69, test error 6.511111 %
DEBUG:root:epoch 70, test error 6.850000 %
