DEBUG:root:training
DEBUG:root:epoch 1, test error 11.340659 %
DEBUG:root:epoch 2, test error 10.258242 %
DEBUG:root:epoch 3, test error 9.071429 %
DEBUG:root:epoch 4, test error 8.159341 %
DEBUG:root:epoch 5, test error 7.906593 %
DEBUG:root:epoch 6, test error 7.472527 %
DEBUG:root:epoch 7, test error 7.401099 %
DEBUG:root:epoch 8, test error 7.142857 %
DEBUG:root:epoch 9, test error 6.934066 %
DEBUG:root:epoch 10, test error 6.620879 %
DEBUG:root:epoch 11, test error 6.527473 %
DEBUG:root:epoch 12, test error 6.252747 %
DEBUG:root:epoch 13, test error 6.560440 %
DEBUG:root:epoch 14, test error 6.060440 %
DEBUG:root:epoch 15, test error 6.269231 %
DEBUG:root:epoch 16, test error 5.906593 %
DEBUG:root:epoch 17, test error 5.664835 %
DEBUG:root:epoch 18, test error 5.857143 %
DEBUG:root:epoch 19, test error 5.703297 %
DEBUG:root:epoch 20, test error 5.637363 %
DEBUG:root:epoch 21, test error 5.609890 %
DEBUG:root:epoch 22, test error 5.505495 %
DEBUG:root:epoch 23, test error 5.560440 %
DEBUG:root:epoch 24, test error 5.494505 %
DEBUG:root:epoch 25, test error 5.318681 %
DEBUG:root:epoch 26, test error 5.434066 %
DEBUG:root:epoch 27, test error 5.076923 %
DEBUG:root:epoch 28, test error 5.335165 %
DEBUG:root:epoch 29, test error 5.032967 %
DEBUG:root:epoch 30, test error 5.241758 %
DEBUG:root:epoch 31, test error 5.049451 %
DEBUG:root:epoch 32, test error 4.967033 %
DEBUG:root:epoch 33, test error 4.818681 %
DEBUG:root:epoch 34, test error 4.983516 %
DEBUG:root:epoch 35, test error 4.994505 %
DEBUG:root:epoch 36, test error 4.719780 %
DEBUG:root:epoch 37, test error 4.857143 %
DEBUG:root:epoch 38, test error 4.840659 %
DEBUG:root:epoch 39, test error 5.043956 %
DEBUG:root:epoch 40, test error 4.813187 %
DEBUG:root:epoch 41, test error 4.708791 %
DEBUG:root:epoch 42, test error 4.719780 %
DEBUG:root:epoch 43, test error 4.697802 %
