DEBUG:root:.. building the model
DEBUG:root:...training
DEBUG:root:train error 0.918000 %
DEBUG:root:train error 0.520000 %
DEBUG:root:train error 0.542000 %
DEBUG:root:train error 0.526000 %
DEBUG:root:train error 0.552000 %
DEBUG:root:train error 0.516000 %
DEBUG:root:train error 0.558000 %
DEBUG:root:train error 0.490000 %
DEBUG:root:train error 0.522000 %
DEBUG:root:train error 0.520000 %
DEBUG:root:train error 0.528000 %
DEBUG:root:train error 0.554000 %
DEBUG:root:train error 0.512000 %
DEBUG:root:train error 0.454000 %
DEBUG:root:train error 0.502000 %
DEBUG:root:train error 0.534000 %
DEBUG:root:train error 0.560000 %
DEBUG:root:train error 0.524000 %
DEBUG:root:train error 0.508000 %
DEBUG:root:train error 0.506000 %
DEBUG:root:train error 0.516000 %
DEBUG:root:train error 0.562000 %
DEBUG:root:train error 0.540000 %
DEBUG:root:train error 0.512000 %
DEBUG:root:train error 0.530000 %
DEBUG:root:train error 0.506000 %
DEBUG:root:train error 0.498000 %
DEBUG:root:train error 0.510000 %
DEBUG:root:train error 0.526000 %
DEBUG:root:train error 0.546000 %
DEBUG:root:train error 0.546000 %
DEBUG:root:train error 0.564000 %
DEBUG:root:train error 0.556000 %
DEBUG:root:train error 0.520000 %
DEBUG:root:train error 0.516000 %
DEBUG:root:train error 0.522000 %
DEBUG:root:train error 0.516000 %
DEBUG:root:train error 0.518000 %
DEBUG:root:train error 0.502000 %
DEBUG:root:train error 0.526000 %
DEBUG:root:train error 0.514000 %
DEBUG:root:train error 0.530000 %
DEBUG:root:train error 0.542000 %
DEBUG:root:train error 0.512000 %
DEBUG:root:train error 0.550000 %
DEBUG:root:train error 0.494000 %
DEBUG:root:train error 0.534000 %
DEBUG:root:train error 0.508000 %
DEBUG:root:train error 0.528000 %
DEBUG:root:train error 0.506000 %
DEBUG:root:train error 0.524000 %
DEBUG:root:train error 0.544000 %
DEBUG:root:train error 0.538000 %
DEBUG:root:train error 0.552000 %
DEBUG:root:train error 0.488000 %
DEBUG:root:train error 0.514000 %
DEBUG:root:train error 0.532000 %
DEBUG:root:train error 0.516000 %
DEBUG:root:train error 0.494000 %
DEBUG:root:train error 0.522000 %
DEBUG:root:train error 0.502000 %
DEBUG:root:train error 0.472000 %
DEBUG:root:train error 0.550000 %
DEBUG:root:train error 0.548000 %
DEBUG:root:train error 0.534000 %
DEBUG:root:train error 0.532000 %
DEBUG:root:train error 0.484000 %
DEBUG:root:train error 0.542000 %
DEBUG:root:train error 0.532000 %
DEBUG:root:train error 0.544000 %
DEBUG:root:train error 0.494000 %
DEBUG:root:train error 0.464000 %
DEBUG:root:train error 0.480000 %
DEBUG:root:train error 0.506000 %
DEBUG:root:train error 0.506000 %
DEBUG:root:train error 0.530000 %
DEBUG:root:train error 0.494000 %
DEBUG:root:train error 0.528000 %
DEBUG:root:train error 0.518000 %
DEBUG:root:train error 0.498000 %
DEBUG:root:train error 0.508000 %
DEBUG:root:train error 0.504000 %
DEBUG:root:train error 0.492000 %
DEBUG:root:train error 0.484000 %
DEBUG:root:train error 0.498000 %
DEBUG:root:train error 0.528000 %
DEBUG:root:train error 0.516000 %
DEBUG:root:train error 0.478000 %
DEBUG:root:train error 0.458000 %
DEBUG:root:train error 0.496000 %
DEBUG:root:train error 0.464000 %
DEBUG:root:train error 0.454000 %
DEBUG:root:train error 0.470000 %
DEBUG:root:train error 0.440000 %
DEBUG:root:train error 0.480000 %
DEBUG:root:train error 0.498000 %
DEBUG:root:train error 0.502000 %
DEBUG:root:train error 0.504000 %
DEBUG:root:train error 0.486000 %
DEBUG:root:train error 0.480000 %
DEBUG:root:train error 0.474000 %
DEBUG:root:train error 0.488000 %
DEBUG:root:train error 0.476000 %
DEBUG:root:train error 0.472000 %
DEBUG:root:train error 0.468000 %
DEBUG:root:train error 0.472000 %
DEBUG:root:train error 0.508000 %
DEBUG:root:train error 0.492000 %
DEBUG:root:train error 0.514000 %
DEBUG:root:train error 0.502000 %
DEBUG:root:train error 0.494000 %
DEBUG:root:train error 0.468000 %
DEBUG:root:train error 0.480000 %
DEBUG:root:train error 0.482000 %
DEBUG:root:train error 0.470000 %
DEBUG:root:train error 0.484000 %
DEBUG:root:train error 0.464000 %
DEBUG:root:train error 0.498000 %
DEBUG:root:train error 0.444000 %
DEBUG:root:train error 0.490000 %
