Loading data succeeded
Unbalanced and re-shuffled test set
Whitened data
Unpacked data
Patch size: 	60
Learning rate: 	0.010000 (before adjustment for rmsprop)
Momentum: 	0.7
... building the model
... training
0
training @ iter =  0
Cost @ iter 0: 0.693147
Cost @ iter 1: 0.682670
Cost @ iter 2: 0.617369
Cost @ iter 3: 0.504606
Cost @ iter 4: 0.407237
Cost @ iter 5: 0.329278
Cost @ iter 6: 0.386299
Cost @ iter 7: 0.268991
Cost @ iter 8: 0.357388
Cost @ iter 9: 0.273739
Cost @ iter 10: 0.359962
Cost @ iter 11: 0.371314
Cost @ iter 12: 0.284979
Cost @ iter 13: 0.309389
Cost @ iter 14: 0.294282
Cost @ iter 15: 0.304865
Cost @ iter 16: 0.343508
Cost @ iter 17: 0.340332
Cost @ iter 18: 0.270950
Cost @ iter 19: 0.267865
Cost @ iter 20: 0.291385
Cost @ iter 21: 0.262418
Cost @ iter 22: 0.291772
Cost @ iter 23: 0.317904
Cost @ iter 24: 0.275460
Cost @ iter 25: 0.318682
Cost @ iter 26: 0.295638
Cost @ iter 27: 0.313897
Cost @ iter 28: 0.318623
Cost @ iter 29: 0.294127
Cost @ iter 30: 0.267689
Cost @ iter 31: 0.279654
Cost @ iter 32: 0.283546
Cost @ iter 33: 0.252818
Cost @ iter 34: 0.268094
Cost @ iter 35: 0.296272
Cost @ iter 36: 0.306437
Cost @ iter 37: 0.248305
Cost @ iter 38: 0.262700
Cost @ iter 39: 0.271045
Cost @ iter 40: 0.277701
Cost @ iter 41: 0.268743
Cost @ iter 42: 0.292454
Cost @ iter 43: 0.259863
Cost @ iter 44: 0.274585
Cost @ iter 45: 0.253279
Cost @ iter 46: 0.248052
Cost @ iter 47: 0.263867
Cost @ iter 48: 0.228087
Cost @ iter 49: 0.208954
Cost @ iter 50: 0.250155
Cost @ iter 51: 0.238490
Cost @ iter 52: 0.233648
Cost @ iter 53: 0.198076
Cost @ iter 54: 0.201167
Cost @ iter 55: 0.260805
Cost @ iter 56: 0.234359
Cost @ iter 57: 0.215436
Cost @ iter 58: 0.237680
Cost @ iter 59: 0.249247
Cost @ iter 60: 0.247278
Cost @ iter 61: 0.193355
Cost @ iter 62: 0.253271
Cost @ iter 63: 0.198613
Cost @ iter 64: 0.193892
Cost @ iter 65: 0.228196
Cost @ iter 66: 0.232340
Cost @ iter 67: 0.202363
Cost @ iter 68: 0.210556
Cost @ iter 69: 0.200807
Cost @ iter 70: 0.201700
Cost @ iter 71: 0.196447
Cost @ iter 72: 0.228695
Cost @ iter 73: 0.217595
Cost @ iter 74: 0.199172
Cost @ iter 75: 0.222676
Cost @ iter 76: 0.183615
Cost @ iter 77: 0.211106
Cost @ iter 78: 0.216796
Cost @ iter 79: 0.208495
Cost @ iter 80: 0.189828
Cost @ iter 81: 0.186236
Cost @ iter 82: 0.197564
Cost @ iter 83: 0.237582
Cost @ iter 84: 0.203661
Cost @ iter 85: 0.185540
Cost @ iter 86: 0.213566
Cost @ iter 87: 0.170697
Cost @ iter 88: 0.176030
Cost @ iter 89: 0.234244
Cost @ iter 90: 0.187830
Cost @ iter 91: 0.185909
Cost @ iter 92: 0.162470
Cost @ iter 93: 0.210908
Cost @ iter 94: 0.193885
Cost @ iter 95: 0.187771
Cost @ iter 96: 0.155662
Cost @ iter 97: 0.162920
Cost @ iter 98: 0.200949
Cost @ iter 99: 0.220780
training @ iter =  100
Cost @ iter 100: 0.196521
Cost @ iter 101: 0.191705
Cost @ iter 102: 0.177643
Cost @ iter 103: 0.155872
Cost @ iter 104: 0.189132
Cost @ iter 105: 0.185694
Cost @ iter 106: 0.175815
Cost @ iter 107: 0.163992
Cost @ iter 108: 0.230120
Cost @ iter 109: 0.205459
Cost @ iter 110: 0.171519
Cost @ iter 111: 0.252148
Cost @ iter 112: 0.156561
Cost @ iter 113: 0.174796
Cost @ iter 114: 0.207737
Cost @ iter 115: 0.188920
Cost @ iter 116: 0.203866
Cost @ iter 117: 0.183226
Cost @ iter 118: 0.175393
Cost @ iter 119: 0.175784
Cost @ iter 120: 0.205077
Cost @ iter 121: 0.161127
Cost @ iter 122: 0.183089
Cost @ iter 123: 0.182459
Cost @ iter 124: 0.187849
Cost @ iter 125: 0.158526
Cost @ iter 126: 0.194255
Cost @ iter 127: 0.163562
epoch 1, minibatch 128/128, validation error 6.890476 %
     epoch 1, minibatch 128/128, test error of best model 6.635000 %
1
Cost @ iter 128: 0.211256
Cost @ iter 129: 0.193573
Cost @ iter 130: 0.137662
Cost @ iter 131: 0.184577
Cost @ iter 132: 0.179816
Cost @ iter 133: 0.176981
